ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,-4,0,200,10,80,20,800,400,20,12,30
770,200,-12,-4,0,200,10,80,20,800,400,20,12,30
770,200,-12,-4,-1,200,10,80,20,800,400,20,12,30
758,196,-12,-4,0,180,10,80,20,800,400,20,12,30
758,196,-12,-4,1,180,10,80,20,800,400,20,12,30
746,192,-12,-4,0,200,10,80,20,800,400,20,12,30
746,192,-12,-4,-1,200,10,80,20,800,400,20,12,30
734,188,-12,-4,0,180,10,80,20,800,400,20,12,30
734,188,-12,-4,1,180,10,80,20,800,400,20,12,30
722,184,-12,-4,0,200,10,80,20,800,400,20,12,30
722,184,-12,-4,-1,200,10,80,20,800,400,20,12,30
710,180,-12,-4,0,180,10,80,20,800,400,20,12,30
710,180,-12,-4,1,180,10,80,20,800,400,20,12,30
698,176,-12,-4,0,200,10,80,20,800,400,20,12,30
698,176,-12,-4,-1,200,10,80,20,800,400,20,12,30
686,172,-12,-4,0,180,10,80,20,800,400,20,12,30
686,172,-12,-4,1,180,10,80,20,800,400,20,12,30
674,168,-12,-4,0,200,10,80,20,800,400,20,12,30
674,168,-12,-4,-1,200,10,80,20,800,400,20,12,30
662,164,-12,-4,0,180,10,80,20,800,400,20,12,30
662,164,-12,-4,1,180,10,80,20,800,400,20,12,30
650,160,-12,-4,0,200,10,80,20,800,400,20,12,30
650,160,-12,-4,-1,200,10,80,20,800,400,20,12,30
638,156,-12,-4,0,180,10,80,20,800,400,20,12,30
638,156,-12,-4,1,180,10,80,20,800,400,20,12,30
626,152,-12,-4,0,200,10,80,20,800,400,20,12,30
626,152,-12,-4,-1,200,10,80,20,800,400,20,12,30
614,148,-12,-4,0,180,10,80,20,800,400,20,12,30
614,148,-12,-4,-1,180,10,80,20,800,400,20,12,30
602,144,-12,-4,0,160,10,80,20,800,400,20,12,30
602,144,-12,-4,-1,160,10,80,20,800,400,20,12,30
590,140,-12,-4,0,140,10,80,20,800,400,20,12,30
590,140,-12,-4,1,140,10,80,20,800,400,20,12,30
578,136,-12,-4,0,160,10,80,20,800,400,20,12,30
578,136,-12,-4,1,160,10,80,20,800,400,20,12,30
566,132,-12,-4,0,180,10,80,20,800,400,20,12,30
566,132,-12,-4,-1,180,10,80,20,800,400,20,12,30
554,128,-12,-4,0,160,10,80,20,800,400,20,12,30
554,128,-12,-4,1,160,10,80,20,800,400,20,12,30
542,124,-12,-4,0,180,10,80,20,800,400,20,12,30
542,124,-12,-4,1,180,10,80,20,800,400,20,12,30
530,120,-12,-4,0,200,10,80,20,800,400,20,12,30
530,120,-12,-4,-1,200,10,80,20,800,400,20,12,30
518,116,-12,-4,0,180,10,80,20,800,400,20,12,30
518,116,-12,-4,-1,180,10,80,20,800,400,20,12,30
506,112,-12,-4,0,160,10,80,20,800,400,20,12,30
